# alt<TAB>canonical 示例，可与 JSON 任选其一使用
人工智能	AI
A.I.	AI
Artificial Intelligence	AI
neo4J	Neo4j
Neo4J	Neo4j
neo-4j	Neo4j
open ai	OpenAI
Open Ai	OpenAI
LLM	Large Language Model
大语言模型	Large Language Model
大型语言模型	Large Language Model
graph rag	GraphRAG
Graph-RAG	GraphRAG
IBM	International Business Machines
I.B.M	International Business Machines
United States	USA
U.S.A	USA
US	USA
U.S.	USA
python3	Python
Py	Python
Postgres	PostgreSQL
postgreSQL	PostgreSQL
PG	PostgreSQL
Structured Query Language	SQL
Graphics Processing Unit	GPU
G.P.U	GPU
Application Programming Interface	API
A.P.I	API
lmstudio	LM Studio
LM-Studio	LM Studio
Open-Source	Open Source
开源	Open Source
